Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Dansk litteratur,"Hvilken dansk forfatter skrev ""Den grimme ælling""?",100,H.C. Andersen,Karen Blixen,Martin A. Hansen,Tove Ditlevsen
Dansk litteratur,"Hvem skrev romanen ""Pelle Erobreren""?",200,Martin A. Hansen,Henrik Pontoppidan,Søren Kierkegaard,Herman Bang
Dansk litteratur,"Hvilken kvindelig forfatter skrev ""Barndommens Gade""?",300,Tove Ditlevsen,Karen Blixen,Suzanne Brøgger,Inger Christensen
Dansk litteratur,"Hvem skrev ""Lykke-Per""?",400,Henrik Pontoppidan,Herman Bang,H.C. Branner,Martin A. Hansen
Dansk litteratur,Hvilken dansk forfatter skrev under pseudonymet Isak Dinesen?,500,Karen Blixen,Tove Ditlevsen,Suzanne Brøgger,Else Holt
Dansk litteratur,"Hvem skrev dramaet ""Et dukkehjem""? (han var norsk men med stor indflydelse)",600,Henrik Ibsen,Adam Oehlenschläger,Ludvig Holberg,Johan L. Heiberg
Dansk litteratur,Hvilket værk handler om præsten Johannes Vig og hans liv?,700,Hærværk,Det forsømte forår,Niels Lyhne,De små ting
Dansk litteratur,"Hvem skrev ""Sommeren med Ellen"" og ""Knud den Store""?",800,Jørgen Frantz Jacobsen,Jens Smærup Sørensen,Jacob Paludan,Benny Andersen
Dansk litteratur,Hvad hedder digtsamlingen af Michael Strunge fra 1982?,900,Væbnet med vinger,Det voldsomme blod,Poesibogen,Skriften på væggen
Dansk litteratur,"Hvem skrev romanen ""Nordkraft""?",1000,Jakob Ejersbo,Leif Panduro,Carsten Jensen,Søren Ulrik Thomsen
Dansk litteratur,"Hvilken dansk forfatter er kendt for ""Løgneren"" og ""Sommerfugledalen""?",1100,Hans Schmidt Pedersen,Tom Kristensen,Klaus Rifbjerg,Michael Strunge
Dansk litteratur,"Hvem har skrevet børnebøgerne om ""Pelle Haleløs""? (svensk forfatter)",1200,Gösta Knutsson,Ole Lund Kirkegaard,Annie M.G. Schmidt,Lene Kaas
Dansk litteratur,Hvilket eventyr samler H.C. Andersen om en dreng med tændstikker?,1300,Pigen med svovlstikkerne,Den tapre tinsoldat,Tommelise,Snesdronningen
Dansk litteratur,"Hvem skrev romanen ""Mit møde med bruden"" (også kendt for lyrik)? ",1400,Flemming Jørgensen,Klaus Rifbjerg,Søren Ulrik Thomsen,Peter Høeg
Dansk litteratur,Hvilket værk af Peter Høeg blev en international bestseller?,1500,Frøken Smillas fornemmelse for sne,De Skjulte,Rejsende i stilhed,Jane til Samson
