Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Verdens geografi,Hvad hedder verdens længste flod?,100,Nilen,Amazonas,Mississippi,Chang Jiang
Verdens geografi,Hvad er Afrikas højeste bjerg?,200,Kilimanjaro,Mount Kenya,Atlas,Toubkal
Verdens geografi,Hvad er hovedstaden i Canada?,300,Ottawa,Toronto,Vancouver,Montreal
Verdens geografi,Hvilket land har størst befolkning i verden?,400,Indien,USA,Kina,Rusland
Verdens geografi,Hvilken ørken er verdens største?,500,Sahara,Gobi,Kalahari,Arabiske ørken
Verdens geografi,Hvilket hav ligger mellem Afrika og Australien?,600,Det Indiske Ocean,Atlanterhavet,Stillehavet,Det Arktiske Ocean
Verdens geografi,Hvilket land består af over 17.000 øer?,700,Indonesien,Filippinerne,Japan,Maldiverne
Verdens geografi,Hvilket bjerg er verdens højeste?,800,Mount Everest,K2,Kangchenjunga,Lhotse
Verdens geografi,Hvilken flod flyder gennem Paris?,900,Seinen,Thames,Donau,Rhinen
Verdens geografi,Hvilket kontinent har flest lande?,1000,Afrika,Europa,Asien,Sydamerika
Verdens geografi,Hvad er hovedstaden i Australien?,1100,Canberra,Sydney,Melbourne,Perth
Verdens geografi,"Hvilket land er kendt som ""Solens land""?",1200,Japan,Kina,Taiwan,Thailand
Verdens geografi,Hvilket land har byerne Marseille og Lyon?,1300,Frankrig,Spanien,Italien,Tyskland
Verdens geografi,Hvilket hav ligger nord for Polen?,1400,Østersøen,Nordsøen,Sortehavet,Det Adriatiske hav
Verdens geografi,Hvilken ørken ligger i Kina og Mongoliet?,1500,Gobi,Sahara,Kalahari,Great Victoria
