Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Mytologi,Hvem er tordenguden i nordisk mytologi?,100,Thor,Odin,Loki,Frej
Mytologi,Hvad hedder gudenes bolig i græsk mytologi?,200,Olympos,Asgård,Helheim,Valhalla
Mytologi,Hvem stjal Mjølner i nordisk mytologi?,300,Thrym,Surt,Mimer,Loke
Mytologi,Hvad hedder kæmpen der holder himlen oppe i græsk mytologi?,400,Atlas,Prometheus,Zeus,Ares
Mytologi,Hvilken gud er konge over de græske guder?,500,Zeus,Hermes,Hades,Apollo
Mytologi,Hvad hedder Odins to ravne?,600,Hugin og Munin,Geri og Freki,Sleipner og Garm,Narvi og Vali
Mytologi,Hvilken nordisk gud er kendt for sin list og forvandlingskunster?,700,Loki,Thor,Odin,Freja
Mytologi,Hvilket nordisk træ er forbindelsen mellem verdenerne?,800,Yggdrasil,Ask Yggdrasil,Valhall,Andvari
Mytologi,Hvem dræbte den græske drage Hydra?,900,Herakles,Perseus,Theseus,Achilles
Mytologi,Hvad hedder gudinden for kærlighed i græsk mytologi?,1000,Afrodite,Athene,Hera,Artemis
Mytologi,Hvad hedder gudinden for skønhed i nordisk mytologi?,1100,Freja,Sif,Hel,Idun
Mytologi,"Hvem vogter Bifrost, regnbuebroen?",1200,Heimdall,Loke,Balder,Tyr
Mytologi,"Hvad hedder Helios’ erstatning i græsk mytologi, guden for solen?",1300,Apollon,Zeus,Hermes,Demeter
Mytologi,Hvilken nordisk gud mistede sin hånd til Fenrisulven?,1400,Tyr,Thor,Odin,Frej
Mytologi,Hvem er gudinden for jagt i græsk mytologi?,1500,Artemis,Athene,Hera,Demeter
