Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Berømte opfindelser,Hvem opfandt telefonen?,100,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi
Berømte opfindelser,Hvem er krediteret for at have opfundet pæren?,200,Thomas Edison,Benjamin Franklin,James Watt,Michael Faraday
Berømte opfindelser,Hvem opfandt trykpressen i 1400-tallet?,300,Johannes Gutenberg,Galileo Galilei,Isaac Newton,Leonardo da Vinci
Berømte opfindelser,Hvad opfandt Marie Curie?,400,Radiosættet,Røntgenfotografi,Radium-opdagelsen,Penicillin
Berømte opfindelser,Hvem opfandt World Wide Web?,500,Tim Berners-Lee,Bill Gates,Steve Jobs,Vinton Cerf
Berømte opfindelser,Hvilket transportmiddel opfandt Karl Benz?,600,Bilen,Flyet,Toget,Cyklen
Berømte opfindelser,Hvem opfandt flyvemaskinen?,700,Brødrene Wright,Charles Lindbergh,Amelia Earhart,Ferdinand von Zeppelin
Berømte opfindelser,Hvilket opfindelse er James Watts mest kendt for?,800,Dampmaskinen,Bilens motor,Telefonen,Radioen
Berømte opfindelser,Hvem opfandt lynaflederen?,900,Benjamin Franklin,Thomas Edison,Nikola Tesla,Michael Faraday
Berømte opfindelser,Hvilken medicin opdagede Alexander Fleming?,1000,Penicillin,Aspirin,Insulin,Quinidin
Berømte opfindelser,Hvem opfandt dynamitten?,1100,Alfred Nobel,Louis Pasteur,Enrico Fermi,Robert Oppenheimer
Berømte opfindelser,Hvad opfandt Nikola Tesla?,1200,Vekselstrømsmotor,Telefonen,Internettet,Radioen
Berømte opfindelser,Hvem opfandt kuglepennen?,1300,László Bíró,Niels Bohr,Hugo Boss,Samuel Morse
Berømte opfindelser,Hvilken opfindelse gjorde Johannes Kepler kendt?,1400,Love for planetbevægelse,Teleskopet,Lommeregneren,Kompassen
Berømte opfindelser,Hvem opfandt telefonens mikrofon og højtaler?,1500,Alexander Graham Bell,Thomas Edison,Emile Berliner,Guglielmo Marconi
