Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Musik,"Hvem komponerede symfonien ""Skæbnesymfonien""?",100,Ludwig van Beethoven,Johann Sebastian Bach,Franz Schubert,Antonio Vivaldi
Musik,"Hvilket band skrev albummet ""Sgt. Pepper's Lonely Hearts Club Band""?",200,The Beatles,The Rolling Stones,Queen,ABBA
Musik,"Hvem komponerede operaen ""La Traviata""?",300,Giuseppe Verdi,Giacomo Puccini,Richard Wagner,Georges Bizet
Musik,Hvilket instrument spillede Louis Armstrong?,400,Trompet,Saxofon,Piano,Violin
Musik,"Hvad hedder den svenske gruppe bag hits som ""Dancing Queen""?",500,ABBA,Roxette,Europe,Cardigans
Musik,"Hvilken dansk sanger stod bag hittet ""Smuk som et stjerneskud""?",600,Tommy Seebach,Sanne Salomonsen,Kim Larsen,Dizzy Mizz Lizzy
Musik,"Hvem komponerede ""Nøddeknækkeren""?",700,Pyotr Tchaikovsky,Sergei Prokofiev,Igor Stravinsky,Franz Liszt
Musik,"Hvilket band skrev sangen ""Bohemian Rhapsody""?",800,Queen,Led Zeppelin,Pink Floyd,U2
Musik,Hvilket klassisk instrument har 88 tangenter?,900,Piano,Harpe,Orgel,Guitar
Musik,"Hvem skrev operetten ""Flagermusen""?",1000,Johann Strauss II,Franz Lehár,Wolfgang Amadeus Mozart,Richard Strauss
Musik,"Hvilket dansk band stod bag albummet ""Gas 5""?",1100,Gasolin',Aqua,D-A-D,Nephew
Musik,"Hvem er kendt som ""The King of Pop""?",1200,Michael Jackson,Elvis Presley,Prince,Madonna
Musik,"Hvem skrev operaen ""Carmen""?",1300,Georges Bizet,Gaetano Donizetti,Giacomo Puccini,Richard Wagner
Musik,Hvilket årti blev rockbandet Nirvana kendt?,1400,1990'erne,1970'erne,1980'erne,1960'erne
Musik,"Hvad hedder komponisten bag ""Fire årstider""?",1500,Antonio Vivaldi,Wolfgang Amadeus Mozart,Johann Pachelbel,Johann Sebastian Bach
