Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Fransk,Hvad er hovedstaden i Frankrig?,100,Paris,Lyon,Marseille,Bordeaux
Fransk,Hvad hedder den franske nationalret med oksekød i vin?,200,Boeuf Bourguignon,Coq au vin,Ratatouille,Bouillabaisse
Fransk,"Hvilken fransk kunstner malede ""Mona Lisa""?",300,Leonardo da Vinci,Claude Monet,Vincent van Gogh,Pablo Picasso
Fransk,Hvilket tårn er et symbol på Paris?,400,Eiffeltårnet,Triumfbuen,Notre Dame,Louvre
Fransk,"Hvilket fransk ord betyder ""tak""?",500,Merci,Bonjour,S'il vous plaît,Au revoir
Fransk,Hvad hedder den franske nationaldag?,600,Bastilledagen,Armistice Day,Vincentdag,Epifani
Fransk,Hvilket land bruger fransk som officielt sprog udover Frankrig?,700,Belgien,Tyskland,Spanien,Italien
Fransk,Hvilken ost er opkaldt efter en fransk by og har grøn mug?,800,Roquefort,Brie,Comté,Camembert
Fransk,Hvad hedder valutasystemet i Frankrig?,900,Euro,Franc,Pund,Pesetas
Fransk,Hvilket fransk bilfirma laver modellen Clio?,1000,Renault,Peugeot,Citroën,Fiat
