Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Dansk politik,Hvad hedder Danmarks nationalforsamling?,100,Folketinget,Landstinget,Kommunerådet,Statsrådet
Dansk politik,Hvor holder Folketinget til?,200,Christiansborg,Amalienborg,Rosenborg,Kastellet
Dansk politik,Hvor mange medlemmer har Folketinget?,300,179,150,200,349
Dansk politik,Hvilket år blev Danmarks grundlov vedtaget første gang?,400,1849,1814,1864,1915
Dansk politik,Hvilken dato er grundlovsdag?,500,5. juni,1. maj,15. juni,24. december
Dansk politik,Hvilket år fik kvinder stemmeret til Folketinget?,600,1915,1849,1901,1920
Dansk politik,Hvad kaldes et forslag til en ny lov?,700,lovforslag,forordning,resolution,dom
Dansk politik,Hvad hedder loven om statens indtægter og udgifter?,800,finansloven,grundloven,straffeloven,kommuneloven
Dansk politik,Hvem vedtager love i Danmark?,900,Folketinget,Højesteret,kommunalbestyrelsen,kongehuset
Dansk politik,Hvad kaldes den tredelte magt i demokratiet?,1000,"lovgivende, udøvende og dømmende magt","rød, blå og grøn magt","lokal, national og global magt","skole, kommune og stat"
