Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Sport og OL,Hvilken by var vært for de første moderne OL i 1896?,100,Athen,Paris,London,Rom
Sport og OL,"Hvad hedder den disciplin, hvor man kaster et spyd?",200,Spydkast,Diskoskast,Kuglestød,Højdespring
Sport og OL,Hvilken dansk svømmer vandt guld på 50 m bryst ved OL i 2016?,300,Pernille Blume,Jeanette Ottesen,Lotte Friis,Mette Jacobsen
Sport og OL,Hvilket land har vundet flest OL-guldmedaljer gennem tiderne?,400,USA,Kina,Rusland,Tyskland
Sport og OL,"Hvad hedder den olympiske fakkelceremoni, hvor ilden tændes?",500,Åbningsceremonien,Aflæggelsen af eden,Sejrsfesten,Slutceremonien
Sport og OL,Hvilket dansk håndboldhold vandt guld ved OL 2016 og 2020?,600,Danmarks herrelandshold,Danmarks kvindelandshold,Frankrigs landshold,Norges landshold
Sport og OL,"Hvad hedder den olympiske disciplin, hvor man kører på is i en bob?",700,Bobslæde,Luge,Skihop,Curling
Sport og OL,Hvilket land var vært for vinter-OL i 2022?,800,Kina,Japan,Canada,Rusland
Sport og OL,"Hvad hedder den danske fægter, der vandt OL-guld i 2012?",900,Lærke Eskildsen,Jeanette Ottesen,Trine Møller,Allan Andreasen
Sport og OL,Hvilket spil foregår på is med sten og koste?,1000,Curling,Ishockey,Skiskydning,Bobslæde
