Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Berømte opfindelser,Hvem opfandt telefonen?,100,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi
Berømte opfindelser,Hvem er krediteret for at have opfundet pæren?,200,Thomas Edison,Benjamin Franklin,James Watt,Michael Faraday
Berømte opfindelser,Hvem opfandt trykpressen i 1400-tallet?,300,Johannes Gutenberg,Galileo Galilei,Isaac Newton,Leonardo da Vinci
Berømte opfindelser,Hvad opfandt Marie Curie?,400,Radiosættet,Røntgenfotografi,Radium-opdagelsen,Penicillin
Berømte opfindelser,Hvem opfandt World Wide Web?,500,Tim Berners-Lee,Bill Gates,Steve Jobs,Vinton Cerf
Berømte opfindelser,Hvilket transportmiddel opfandt Karl Benz?,600,Bilen,Flyet,Toget,Cyklen
Berømte opfindelser,Hvem opfandt flyvemaskinen?,700,Brødrene Wright,Charles Lindbergh,Amelia Earhart,Ferdinand von Zeppelin
Berømte opfindelser,Hvilket opfindelse er James Watts mest kendt for?,800,Dampmaskinen,Bilens motor,Telefonen,Radioen
Berømte opfindelser,Hvem opfandt lynaflederen?,900,Benjamin Franklin,Thomas Edison,Nikola Tesla,Michael Faraday
Berømte opfindelser,Hvilken medicin opdagede Alexander Fleming?,1000,Penicillin,Aspirin,Insulin,Quinidin
Berømte opfindelser,Hvem opfandt dynamitten?,1100,Alfred Nobel,Louis Pasteur,Enrico Fermi,Robert Oppenheimer
Berømte opfindelser,Hvad opfandt Nikola Tesla?,1200,Vekselstrømsmotor,Telefonen,Internettet,Radioen
Berømte opfindelser,Hvem opfandt kuglepennen?,1300,László Bíró,Niels Bohr,Hugo Boss,Samuel Morse
Berømte opfindelser,Hvilken opfindelse gjorde Johannes Kepler kendt?,1400,Love for planetbevægelse,Teleskopet,Lommeregneren,Kompassen
Berømte opfindelser,Hvem opfandt telefonens mikrofon og højtaler?,1500,Alexander Graham Bell,Thomas Edison,Emile Berliner,Guglielmo Marconi
Berømte opfindelser,Hvad opfandt Guglielmo Marconi?,1600,Radioen,Telefonen,Fjernsynet,Internettet
Berømte opfindelser,Hvem opfandt frakoblingen i en cykelkæde?,1700,Ernest Michaux,John Dunlop,Karl Benz,Henry Ford
Berømte opfindelser,Hvilket instrument var Johann Sebastian Bach særligt kendt for at spille?,1800,Orgel,Trompet,Saxofon,Elbas
Berømte opfindelser,Hvem opfandt E=mc²? (ikke en opfindelse men formel),1900,Albert Einstein,Isaac Newton,Galileo Galilei,Niels Bohr
Berømte opfindelser,Hvem opfandt Facebook?,2000,Mark Zuckerberg,Bill Gates,Steve Jobs,Larry Page
Berømte opfindelser,Hvad opfandt Louis Pasteur?,2100,Vaccination og pasteurisering,Penicillin,Insulin,Dynamit
Berømte opfindelser,Hvem opfandt computeren Colossus under Anden Verdenskrig?,2200,Alan Turing,Charles Babbage,Tim Berners-Lee,Grace Hopper
Berømte opfindelser,"Hvem opfandt lommeregnerens første prototype, Analytical Engine?",2300,Charles Babbage,John Napier,Blaise Pascal,Nikola Tesla
Berømte opfindelser,Hvad kaldes den cellelinje der stammer fra Henrietta Lacks’ kræftceller?,2400,HeLa-celler,B-celler,T-celler,Stemmegaffelceller
Berømte opfindelser,Hvilket land opfandt papir?,2500,Kina,Egypten,Grækenland,Romerriget
