Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Nordiske lande,Hvilket land er størst i Norden i areal?,100,Sverige,Norge,Danmark,Finland
Nordiske lande,Hvilket nordisk land har fjeldet Galdhøpiggen?,200,Norge,Island,Finland,Sverige
Nordiske lande,Hvad hedder hovedstaden i Finland?,300,Helsinki,Reykjavik,Stockholm,Oslo
Nordiske lande,Hvilket nordisk land bruger euro som valuta?,400,Finland,Sverige,Danmark,Island
Nordiske lande,Hvilket land har størst befolkning i Norden?,500,Sverige,Norge,Finland,Danmark
Nordiske lande,Hvilket nordisk land er kendt for gejsere og vulkaner?,600,Island,Norge,Finland,Sverige
Nordiske lande,Hvad hedder Danmarks rigsfællesskabs nordlige territorium?,700,Grønland,Åland,Færøerne,Svalbard
Nordiske lande,Hvilken øgruppe tilhører Norge?,800,Svalbard,Færøerne,Åland,Shetlandsøerne
Nordiske lande,Hvilket nordisk land har to officielle sprog: dansk og grønlandsk?,900,Grønland,Island,Sverige,Norge
Nordiske lande,"Hvilket land kaldes ""de tusind søers land""?",1000,Finland,Sverige,Norge,Island
Nordiske lande,Hvad hedder hovedstaden i Island?,1100,Reykjavik,Helsinki,Stockholm,Tórshavn
Nordiske lande,Hvilket nordisk land har byerne Göteborg og Malmö?,1200,Sverige,Norge,Finland,Danmark
Nordiske lande,Hvilket land tilhører øgruppen Åland?,1300,Finland,Sverige,Norge,Danmark
Nordiske lande,"Hvilket nordisk land kaldes også ""landet med fjorde""?",1400,Norge,Island,Sverige,Finland
Nordiske lande,Hvilket nordisk land har kendte sagaer om vikinger nedskrevet på runestene?,1500,Island,Danmark,Norge,Sverige
Nordiske lande,Hvad hedder hovedstaden i Danmark?,1600,København,Helsinki,Stockholm,Oslo
Nordiske lande,Hvilket land er kendt for gejsere som Strokkur og Geysir?,1700,Island,Norge,Danmark,Finland
Nordiske lande,Hvilken nordisk by huser Stockholms slot?,1800,Stockholm,Oslo,København,Helsinki
Nordiske lande,Hvilket land styrer Færøerne?,1900,Danmark,Norge,Sverige,Finland
Nordiske lande,Hvilket land har riksdag som parlament?,2000,Sverige,Danmark,Norge,Island
